PDB,BA,BC1,AC1,BC2,AC2,dc
5wkf_fv,122.89581934734304,109.20112904288561,64.54950743338927,25.52964846300226,154.52887592004666,15.216458047261186
6vrm_fv,120.25919093711525,105.1164683473809,63.855720088191546,21.43496946613685,153.24142726656945,15.467327521191812
8es9_fv,116.4269499809887,112.40336200702497,77.82028062515666,22.564150824989326,166.7870830203238,15.786679446476851
3o8x_fv,123.70890589974069,125.45609423849955,78.01892062559517,36.934845786795705,164.3665176014533,16.37877827298011
6vm7_fv,129.46986378270407,121.69682683398474,69.43254676521732,37.206877707033186,156.37222467199348,15.67111415490497
6mra_fv,119.47057192135983,100.51169366784676,59.1593869537053,20.944289227016768,148.0266231206782,16.336368891038603
5tez_fv,122.96063178933893,119.80236965069888,74.46942260670743,31.828295297422823,163.52943647759787,14.8119800603936
8wul_fv,125.00455433255873,111.85786368450846,64.65591539087286,28.605861506687923,154.54957640869145,15.458219720965122
6vma_fv,118.71038995485908,114.23929481904499,75.55743413791389,25.065189487199806,165.4455910465588,16.420585110760634
2cdf_fv,125.66745603007175,125.64668454846664,76.25565057094262,37.923328823452124,162.08295718437464,15.105783406643472
7s8j_fv,124.73349456367843,123.92963627985475,75.83659128478713,36.06981052001123,162.8640138346277,15.478446524562543
4udt_fv,117.37716887405958,105.22637609179024,69.23864422030644,17.67129862834671,157.45021143788605,15.70849282582466
6at6_fv,123.61493977942867,123.56829918966909,76.70764250464995,35.26033652871038,164.16323506110137,16.112700295446395
3vwk_fv,119.62256278439622,121.02515656513755,79.42558583524264,31.51986845403206,168.72695566095706,15.245183772571215
3kps_fv,117.97511695954215,119.79595539325823,80.73843381387334,29.965719889521935,170.5717044160869,16.459287970808962
4ms8_fv,125.93209443966315,128.27988855824148,78.00063599384949,40.2672897898346,161.9041918219003,16.530680874573196
5ks9_fv,120.20987697601379,112.47180464184187,71.74101216527197,24.596531518081232,161.66575531839584,15.172153446156008
6v18_fv,133.03598312196027,124.70358540732641,69.15925901424679,41.411664010300264,153.69550671151882,16.163584190431635
8eo8_fv,120.65506065978629,112.02102365035283,70.65638357041692,24.64113932834773,160.5953861006382,15.821788828179187
2vlj_fv,121.63935409519301,115.07804314303844,72.09439846293404,27.443574696325452,162.04987661845487,16.24221884141111
6amu_fv,121.50704096747928,105.99161357834878,62.90851688895029,23.2242714057814,152.61788887996283,15.480566194944807
4ozf_fv,112.0061940473864,91.46855500990428,62.90289397040713,9.804698089908863,145.39538700572012,17.070544374956476
7rtr_fv,120.56618613000839,105.97739209362477,64.37922018480558,21.964197523039942,153.90204877213318,16.60885705497314
5eu6_fv,126.0038375258347,125.62428792839984,75.9219013361584,38.05975956361179,161.6908556753413,15.234836456164517
4apq_fv,122.70753773485531,125.21005081402522,78.86182518880888,36.347423325581154,165.55661492417653,15.38704983950124
4z7u_fv,118.83145889365476,101.60750038435286,61.8816907123094,19.41019460694938,150.5354868425807,16.072460709353994
2nw2_fv,126.55200495132601,117.61886972690104,68.56679220151457,32.67386803835431,157.48246640963688,15.528673924472313
6dfv_fv,125.30321521297127,133.33535811462488,82.08208722138467,44.59053533892673,161.30419927913854,16.143390653722147
5nmg_fv,120.52325606453448,109.29883142415115,68.13633332177363,22.996586849600202,157.8929891431873,15.736613641056653
4dzb_fv,120.59431274426797,110.75865459734378,69.51634588765882,23.826806135029752,159.38109503593097,16.396680952604385
6xqp_fv,116.77704253322877,102.23854639423242,66.89729890021735,15.888530692529574,154.40624679962102,17.347690620766116
5c07_fv,123.78761930130491,109.59132048555405,63.77223038025913,26.634884755246983,153.77221823282994,15.190303842386905
7byd_fv,116.46456973322084,99.55634565138084,63.930883564766134,15.46836404745416,151.07641917872778,16.715627357143752
6cqn_fv,126.9727491273595,110.3482433811991,60.71997789142644,30.31278763960877,150.5274719791066,15.431646405849193
8vd0_fv,116.84500624674408,112.39425754073127,77.08308965228677,22.674346230431894,166.236729316314,16.285183071544918
4elk_fv,121.66514919057165,110.80304400328885,67.98221312797416,24.852060225515356,157.94230946788053,15.306902830758759
6cug_fv,125.51579954670575,121.84491472438829,73.36553387581608,34.82326233022409,161.19120017482305,15.528619296369804
5isz_fv,123.5839997211752,116.22385812832557,70.65113289261906,29.59812404677938,160.31491834312314,16.487116046780354
7rrg_fv,119.40602697438615,115.94059485472101,75.91471058228322,26.848375116633214,165.91470053813845,15.671947121580542
7amr_fv,120.33631544763541,105.39939396819706,64.06865800433872,21.572191856451393,153.4947037044755,16.523484069323295
7dzm_fv,118.46015309537637,111.59565610380172,73.67707653321953,22.753560610859385,163.23444939403151,16.120791230874875
7n5p_fv,116.75789735199196,108.22782313842792,73.5834624649436,19.03595483051992,161.8749979112208,17.69896913739596
6vqo_fv,122.74448223049951,121.08018635258018,75.73838489033282,32.76436487172859,164.4434514661683,14.59033023387767
4e41_fv,122.75799842094216,114.00488180387767,69.6316907657119,27.570585536256353,159.57280143600326,17.027886216610774
4jry_fv,120.51627517401417,109.59904833152798,68.45932342198249,23.13491580188461,158.23632691374345,15.337895236965755
6dfx_fv,122.87411774849674,127.70588462938832,80.43117053770867,38.679293370825135,165.27531883284286,16.769017981144277
6tmo_fv,116.09723033565874,96.80971710187012,60.503093104523984,16.18005005962525,147.4049651550279,15.391292519580293
8pjg_fv,127.69033407444904,119.2472669358452,68.89953248711782,34.47369788369721,157.14364318560976,16.608194226703244
7nmg_fv,124.50947908843112,116.27021855744627,69.59112766847886,30.315774744958713,159.11844304921559,15.731999085493953
3mff_fv,123.9056209379776,122.43173302923933,75.52207781845586,34.440434707077685,163.45458596438263,15.673171272185472
7phr_fv,120.2203528406207,110.3734174482707,69.70482455042115,23.268965745853357,159.4928938176261,16.28044990463835
7su9_fv,122.20494855090989,117.51252383509167,73.47815117817876,29.609539713666102,163.14442132682407,15.187883394527072
8d5q_fv,126.10957362819305,126.92027692184193,76.82149018060792,39.18334539115671,161.70637088974206,15.520286994314795
4x6c_fv,121.62780563938576,119.38500898699925,75.72114800171751,30.81436548323435,165.12196222744964,14.526603737063448
2f53_fv,117.24708352829316,109.8746824587117,74.20869103024162,20.651743557649358,163.06483452995957,15.514376523867389
5men_fv,118.49804076456358,110.1620802269624,72.28753958092022,21.702576797106172,161.66947628563855,16.185325616367667
5brz_fv,115.32757271981146,112.21612365280464,79.66717729876956,22.220336257963744,167.92270526237323,16.096043600736913
4zdh_fv,125.65678051351395,117.83029164259591,69.7257756684301,32.13171012933885,158.76643930983212,15.129668374496857
3vxr_fv,119.7695489830431,110.1574519407093,70.19742048153209,22.738952235251794,159.890434877725,15.094193547106114
4may_fv,122.35860995086364,117.26246684535751,73.07400530501361,29.511359132000774,162.7565519481439,15.485422526239196
7sg0_fv,128.17716396284484,119.47317773040348,68.62745716499771,34.961276423223055,156.69094570417124,15.468036055401596
4p2o_fv,121.61790297580752,111.0813294295896,68.33237373254737,24.94582147234312,158.29858618227863,15.038513248502712
6ovn_fv,129.01214399651465,112.63950803093215,61.02559221357275,32.85656922200646,150.35161011326392,14.633674834314007
6ovo_fv,118.33471848590446,105.82168628460205,68.07287378085381,19.062513761597003,156.84897203410665,15.53477722251515
